order,name,length,alignment,action_type,not_in_eval,json_priority
48,"AXIS I Secondary Psychiatric Diagnosis",5,right,all,false,admissions
49,"AXIS II Psychiatric Diagnosis",5,right,all,false,admissions
50,"Substance Abuse Diagnosis",5,right,all,false,admissions
51,"GAF Score",3,right,all,false,admissions
52,"DC03 AXIS I Primary Diagnosis",3,right,all,false,admissions
53,"DC03 AXIS I Secondary Diagnosis",3,right,all,false,admissions
54,"DC03 AXIS II Relationship Disorder Class",4,right,all,false,admissions
55,"DC03 PIR – GAS",3,right,all,false,admissions
56,"Highest Education Level In Years",2,right,all,false,admissions
57,"Marital Status",2,right,all,false,admissions
58,"Number Children",2,right,all,false,admissions
59,"Annual Income",6,right,all,false,admissions
60,"SSI",1,right,all,false,admissions
61,"SSDI",1,right,all,false,admissions
62,"Number Of Persons Supported By Income",1,right,all,false,admissions
63,"Current Primary Role/Employment/School Status",2,right,all,false,admissions
64,"Place Of Residence",2,right,all,false,admissions
65,"Alone",1,right,all,false,admissions
66,"Mother",1,right,all,false,admissions
67,"Father",1,right,all,false,admissions
68,"Sibling(s)",1,right,all,false,admissions
69,"Relative(s), kin",1,right,all,false,admissions
70,"Foster Parent(s)",1,right,all,false,admissions
71,"Guardian",1,right,all,false,admissions
72,"Spouse",1,right,all,false,admissions
73,"Partner/Significant Other",1,right,all,false,admissions
74,"Child(ren)",1,right,all,false,admissions
75,"Unrelated Person",1,right,all,false,admissions
76,"Existence Presenting Problem",1,right,all,false,admissions
77,"Number of Prior Psychiatric Hospitalizations",2,right,all,false,admissions
78,"Developmental Disability",1,right,all,false,admissions
79,"Deaf/Hearing Loss",1,right,all,false,admissions
80,"Blind/Vision Loss",1,right,all,false,admissions
81,"Learning Disability",1,right,all,false,admissions
82,"Traumatic Brain Injury (TBI)",1,right,all,false,admissions
83,"None (Disabilities)",1,right,all,false,admissions
84,"Legal Status",2,right,all,false,admissions
85,"Self-care Problems",1,right,all,false,admissions
86,"Food Attainment",1,right,all,false,admissions
87,"Housing Access",1,right,all,false,admissions
88,"Cultural",1,right,all,false,admissions
89,"Language",1,right,all,false,admissions
90,"None (Considerations for Providers)",1,right,all,false,admissions
91,"Suicide Attempt",1,right,all,false,admissions
92,"Trauma",1,right,all,false,admissions
93,"Legal/Incarcerations",1,right,all,false,admissions
94,"Sexual Misconduct",1,right,all,false,admissions
95,"Destroyed Property",1,right,all,false,admissions
96,"Set Fires",1,right,all,false,admissions
97,"Legal/Convictions",1,right,all,false,admissions
98,"Animal Cruelty",1,right,all,false,admissions
99,"Prenatal/Perinatal Drug/Alcohol Exposure",1,right,all,false,admissions
100,"Danger to Self",1,right,all,false,admissions
101,"Family Mental Illness",1,right,all,false,admissions
102,"Family Substance Abuse",1,right,all,false,admissions
103,"Violent Environment",1,right,all,false,admissions
104,"None - History of Issues",1,right,all,false,admissions
105,"Sexual Misconduct",1,right,all,false,discharge
106,"Danger to Self",1,right,all,false,discharge
107,"Injures Others",1,right,all,false,discharge
108,"Injury by Abuse/Assault",1,right,all,false,discharge
109,"Reckless Self-Endangerment",1,right,all,false,discharge
110,"Suicide Ideation",1,right,all,false,discharge
111,"Suicide Plan",1,right,all,false,discharge
112,"Suicide Attempt",1,right,all,false,discharge
113,"None (Current Issues)",1,right,all,false,discharge
114,"Danger to Self",1,right,all,false,admissions
115,"Danger to Others",1,right,all,false,admissions
116,"Gravely Disabled",1,right,all,false,admissions
117,"Does not apply (27-65 Criteria)",1,right,all,false,admissions
118,"County Of Residence",3,right,all,true,admissions
119,"Zip Code",5,right,all,true,admissions
120,"Staff ID",7,right,all,true,admissions
121,"School Age",1,right,all,false,admissions
122,"Expelled from School",1,right,all,false,admissions
123,"Suspended from School",1,right,all,false,admissions
124,"Unexcused Absences from School",1,right,all,false,admissions
125,"Currently Passing all Classes",1,right,all,false,admissions
126,"Child less than 6 years old",1,right,all,false,admissions
127,"Talking/Communication",1,right,all,false,admissions
128,"Physical/Motor Movements",1,right,all,false,admissions
129,"Hearing/Seeing",1,right,all,false,admissions
130,"Learning/Cognition",1,right,all,false,admissions
131,"Playing & Interacting",1,right,all,false,admissions
132,"Self-Help Skills",1,right,all,false,admissions
133,"Child readiness developmentally appropriate",1,right,all,false,admissions
134,"Sexual Abuse",1,right,all,false,admissions
135,"Neglect",1,right,all,false,admissions
136,"Physical Abuse",1,right,all,false,admissions
137,"Verbal Abuse",1,right,all,false,admissions
138,"None-Victimization",1,right,all,false,admissions
139,"Inpatient",1,right,all,false,admissions
140,"Other 24-hour",1,right,all,false,admissions
141,"Partial care",1,right,all,false,admissions
142,"Outpatient",1,right,all,false,admissions
143,"None (History of Mental Health Services)",1,right,all,false,admissions
144,"Juvenile Justice",1,right,all,false,admissions
145,"Special Education",1,right,all,false,admissions
146,"Child Welfare",1,right,all,false,admissions
147,"Adult Corrections",1,right,all,false,admissions
148,"Substance Abuse",1,right,all,false,admissions
149,"Developmental Disabilities",1,right,all,false,admissions
150,"None (Previous/Concurrent Services)",1,right,all,false,admissions
151,"Tobacco",1,right,all,false,discharge
152,"Alcohol",1,right,all,false,discharge
153,"Marijuana",1,right,all,false,discharge
154,"Cocaine/Crack",1,right,all,false,discharge
155,"Heroin",1,right,all,false,discharge
156,"Other Opiates/Narcotics",1,right,all,false,discharge
157,"Barbiturates/Sedatives/Tranquilizers",1,right,all,false,discharge
158,"Amphetamines/Stimulants",1,right,all,false,discharge
159,"Hallucinogens",1,right,all,false,discharge
160,"Inhalants",1,right,all,false,discharge
161,"None (Non-prescription Substance Use)",1,right,all,false,discharge
162,"Physical Health",1,right,all,false,discharge
163,"Self-Care / Basic Needs",1,right,all,false,discharge
164,"Legal",1,right,all,false,discharge
165,"Security / Supervision",1,right,all,false,discharge
166,"Suicide / Danger to Self",1,right,all,false,discharge
167,"Aggression / Danger to Others",1,right,all,false,discharge
168,"Psychosis",1,right,all,false,discharge
169,"Cognition",1,right,all,false,discharge
170,"Attention",1,right,all,false,discharge
171,"Manic Issues",1,right,all,false,discharge
172,"Anxiety Issues",1,right,all,false,discharge
173,"Depressive Issues",1,right,all,false,discharge
174,"Alcohol Use",1,right,all,false,discharge
175,"Drug Use",1,right,all,false,discharge
176,"Family",1,right,all,false,discharge
177,"Interpersonal",1,right,all,false,discharge
178,"Socialization",1,right,all,false,discharge
179,"Role Performance",1,right,all,false,discharge
180,"Overall Symptom Severity",1,right,all,false,discharge
181,"Social Support",1,right,all,false,discharge
182,"Hope",1,right,all,false,discharge
183,"Empowerment",1,right,all,false,discharge
184,"Activity Involvement",1,right,all,false,discharge
185,"Overall Recovery",1,right,all,false,discharge
186,"Overall Level of Functioning",1,right,all,false,discharge
187,"Record Code",1,right,all,false,admissions
188,"First Contact Date",8,right,0106,false,admissions
189,"Date of First Appointment Offered",8,right,0106,false,admissions
190,"Pregnant",1,right,all,false,admissions
191,"Sexual Orientation",1,right,all,false,admissions
192,"Reason for Discharge",2,right,0506,true,discharge
193,"Veteran/Active Military Status",1,right,all,false,admissions
194,"Tobacco/Vaping Nicotine Status",1,right,all,false,admissions
195,"Criminal Justice Involvement",2,right,all,false,admissions
196,"School Attendance",1,right,all,false,admissions
197,"Trauma History",1,right,all,false,admissions
198,"Primary Diagnosis 1",7,right,all,true,admissions
199,"Diagnosis 2",7,right,all,false,admissions
200,"Diagnosis 3",7,right,all,false,admissions
201,"Diagnosis 4",7,right,all,false,admissions
